EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29959.8	-27021	0.020789247252137225
100	-18575.0	-15049	1.81272284572714e+22
200	-18820.55	-14007	2.503014782920283e+49
300	-16928.55	-12866	7.76914393117074e+76
400	-19016.85	-12831	3.443411735472034e+105
500	-15322.5	-12029	6.470372818444559e+134
600	-16182.1	-11789	1.3073552858897868e+164
700	-15813.2	-11789	3.824612125370167e+193
800	-13872.5	-11549	4.084563660838654e+222
900	-14223.3	-11449	3.0718519956925773e+251
1000	-16092.15	-11348	5.389056011691767e+281
1100	-14266.05	-10904	inf
1200	-13792.5	-10904	inf
1300	-15697.2	-10772	inf
1400	-13600.65	-10393	inf
1500	-14523.35	-10382	inf
1600	-17445.1	-10369	inf
1700	-14868.2	-10351	inf
1800	-13797.45	-10208	inf
1900	-13953.45	-10163	inf
2000	-12832.65	-10163	inf
2100	-18258.05	-10163	inf
2200	-14978.2	-10163	inf
2300	-11834.5	-9927	inf
2400	-14497.05	-9927	inf
2500	-12477.75	-9924	inf
2600	-12672.85	-9924	inf
2700	-12477.45	-9924	inf
2800	-15393.1	-9924	inf
2900	-15259.0	-9892	inf
3000	-15355.4	-9883	inf
3100	-16439.35	-9883	inf
3200	-15213.5	-9883	inf
3300	-13742.5	-9883	inf
3400	-14952.4	-9883	inf
3500	-13168.15	-9857	inf
3600	-14264.15	-9857	inf
3700	-16213.8	-9857	inf
3800	-13374.15	-9857	inf
3900	-14495.1	-9857	inf
4000	-12851.55	-9857	inf
4100	-15991.3	-9857	inf
4200	-13558.95	-9857	inf
4300	-12258.45	-9854	inf
4400	-16719.45	-9854	inf
4500	-14419.5	-9854	inf
4600	-13450.7	-9854	inf
4700	-15586.7	-9854	inf
4800	-14931.1	-9851	inf
4900	-14514.0	-9851	inf
Total Time: 38.582671880722046
Best Route: 48 25 28 27 11 52 14 13 47 26 12 51 33 8 41 19 45 18 31 30 42 2 7 21 23 1 22 17 3 9 10 43 4 6 24 5 15 40 39 34 16 50 20 29 46 44 49 32 36 35 37 38 
Fitness=-9851

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29041.9	-26776	0.020336705445174783
100	-17880.65	-15315	1.4830247635779559e+22
200	-17137.55	-13707	3.133308578016913e+48
300	-17392.4	-11870	8.071244809534016e+75
400	-14839.2	-11306	1.7959123148242176e+106
500	-16266.3	-10972	1.884135341887178e+138
600	-15530.7	-10911	4.1273108004721325e+169
700	-14650.3	-10600	9.005021477676053e+200
800	-12259.75	-9897	1.1107204434202965e+232
900	-13557.55	-9897	2.494653677526624e+265
1000	-12983.5	-9768	5.1664218247750085e+297
1100	-16965.55	-9768	inf
1200	-13211.35	-9760	inf
1300	-13151.8	-9724	inf
1400	-13560.85	-9710	inf
1500	-13051.0	-9428	inf
1600	-12797.05	-9371	inf
1700	-14134.15	-9371	inf
1800	-14932.2	-9371	inf
1900	-13100.75	-9229	inf
2000	-14731.75	-9229	inf
2100	-14939.95	-9229	inf
2200	-13893.4	-9229	inf
2300	-12057.05	-9229	inf
2400	-11433.55	-9229	inf
2500	-12553.7	-9229	inf
2600	-14309.3	-9229	inf
2700	-11882.55	-9229	inf
2800	-12218.0	-9229	inf
2900	-15000.65	-9228	inf
3000	-12652.15	-9228	inf
3100	-11983.8	-9228	inf
3200	-12302.2	-9228	inf
3300	-13412.15	-9228	inf
3400	-14162.8	-9228	inf
3500	-12735.45	-9228	inf
3600	-12456.45	-9228	inf
3700	-10847.05	-9155	inf
3800	-12509.95	-9155	inf
3900	-14422.7	-9155	inf
4000	-11679.6	-9155	inf
4100	-11658.55	-9115	inf
4200	-15152.2	-9114	inf
4300	-12610.05	-9114	inf
4400	-12322.0	-9114	inf
4500	-12527.65	-9055	inf
4600	-12650.55	-9052	inf
4700	-14396.55	-9052	inf
4800	-13776.0	-9052	inf
4900	-12798.65	-9052	inf
Total Time: 38.876314878463745
Best Route: 36 35 25 27 26 47 13 14 52 11 28 12 51 33 43 10 9 8 41 19 45 32 49 39 34 44 16 46 37 6 4 40 48 24 5 15 38 20 50 29 30 23 21 7 2 42 17 3 18 31 22 1 
Fitness=-9052

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28772.3	-8980	0.06007579342984409
100	-12487.8	-8798	1.7145803318633376e+33
200	-13703.55	-8707	1.5615189833509904e+68
300	-14022.5	-8692	1.2288146083783838e+106
400	-13525.35	-8669	2.0194247460341737e+141
500	-12273.9	-8650	1.4100139889174776e+177
600	-11483.65	-8649	5.926440626651392e+214
700	-12413.15	-8649	5.081847335024567e+248
800	-12703.85	-8649	4.787064068746207e+285
900	-11102.95	-8649	inf
1000	-11555.75	-8649	inf
1100	-11414.1	-8649	inf
1200	-12842.75	-8649	inf
1300	-12200.6	-8584	inf
1400	-13718.45	-8584	inf
1500	-12378.25	-8523	inf
1600	-13511.95	-8523	inf
1700	-12875.5	-8523	inf
1800	-13430.75	-8523	inf
1900	-11444.0	-8523	inf
2000	-13812.15	-8523	inf
2100	-13866.0	-8523	inf
2200	-11769.75	-8523	inf
2300	-11315.5	-8523	inf
2400	-12339.5	-8523	inf
2500	-11598.9	-8523	inf
2600	-14784.8	-8523	inf
2700	-13847.0	-8523	inf
2800	-13879.35	-8523	inf
2900	-14231.75	-8523	inf
3000	-10554.95	-8523	inf
3100	-13428.1	-8523	inf
3200	-12380.9	-8523	inf
3300	-11872.05	-8523	inf
3400	-11614.55	-8523	inf
3500	-11830.75	-8523	inf
EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28533.2	-8980	0.1
100	-15424.7	-8980	0.1
200	-19625.8	-8980	0.1
300	-17782.05	-8980	0.1
400	-18213.8	-8933	0.1
500	-15126.75	-8933	0.1
600	-16463.25	-8933	0.1
700	-17436.1	-8933	0.1
800	-16058.05	-8933	0.1
900	-17485.1	-8933	0.1
1000	-17267.3	-8933	0.1
1100	-20087.7	-8933	0.1
1200	-23052.45	-8933	0.1
1300	-18555.1	-8933	0.1
1400	-18878.7	-8933	0.1
1500	-19606.3	-8933	0.1
1600	-18979.4	-8933	0.1
1700	-16165.85	-8933	0.1
1800	-22838.25	-8902	0.1
1900	-18101.85	-8902	0.1
2000	-24750.55	-8902	0.1
2100	-17968.55	-8902	0.1
2200	-19578.45	-8902	0.1
2300	-18888.6	-8894	0.1
2400	-21732.1	-8894	0.1
2500	-16311.0	-8894	0.1
2600	-22415.6	-8894	0.1
2700	-18485.05	-8894	0.1
2800	-20209.05	-8894	0.1
2900	-15115.65	-8874	0.1
3000	-17819.85	-8874	0.1
3100	-18232.4	-8874	0.1
3200	-15713.2	-8874	0.1
3300	-20609.45	-8874	0.1
3400	-15675.95	-8874	0.1
3500	-19219.05	-8874	0.1
3600	-19163.7	-8874	0.1
3700	-23754.3	-8874	0.1
3800	-19875.65	-8784	0.1
3900	-17254.65	-8784	0.1
4000	-18575.6	-8784	0.1
4100	-20995.3	-8784	0.1
4200	-15259.7	-8784	0.1
4300	-18933.7	-8784	0.1
4400	-21288.75	-8784	0.1
4500	-24345.1	-8784	0.1
4600	-18203.8	-8784	0.1
4700	-20619.8	-8784	0.1
4800	-13920.5	-8784	0.1
4900	-16866.55	-8784	0.1
Total Time: 39.39856696128845
Best Route: 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 11 29 30 21 17 7 2 42 22 1 49 32 36 34 35 39 40 38 37 24 48 5 15 6 4 25 46 
Fitness=-8784

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28971.65	-8980	0.1
100	-17609.4	-8980	0.1
200	-19202.15	-8904	0.1
300	-15585.75	-8904	0.1
400	-19058.45	-8904	0.1
500	-26014.25	-8873	0.1
600	-20437.4	-8873	0.1
700	-16556.25	-8873	0.1
800	-21567.0	-8873	0.1
900	-20484.3	-8873	0.1
1000	-25278.5	-8873	0.1
1100	-21032.35	-8873	0.1
1200	-19324.05	-8764	0.1
1300	-16344.6	-8764	0.1
1400	-19388.55	-8764	0.1
1500	-23646.05	-8697	0.1
1600	-18289.15	-8697	0.1
1700	-17733.95	-8697	0.1
1800	-17158.6	-8697	0.1
1900	-18458.75	-8697	0.1
2000	-17868.9	-8697	0.1
2100	-17839.4	-8580	0.1
2200	-20093.0	-8580	0.1
2300	-17365.35	-8580	0.1
2400	-13867.4	-8580	0.1
2500	-19228.4	-8580	0.1
2600	-22866.7	-8580	0.1
2700	-16068.15	-8580	0.1
2800	-21728.7	-8580	0.1
2900	-16568.05	-8580	0.1
3000	-23049.85	-8580	0.1
3100	-16031.3	-8580	0.1
3200	-15196.8	-8580	0.1
3300	-21800.85	-8580	0.1
3400	-19968.85	-8580	0.1
3500	-20842.9	-8580	0.1
3600	-17553.1	-8580	0.1
3700	-21185.8	-8580	0.1
3800	-19359.5	-8580	0.1
3900	-15529.1	-8580	0.1
4000	-16166.15	-8580	0.1
4100	-20551.65	-8580	0.1
4200	-20593.9	-8580	0.1
4300	-21528.2	-8580	0.1
4400	-22952.8	-8580	0.1
4500	-17149.8	-8580	0.1
4600	-20706.25	-8580	0.1
4700	-18350.25	-8580	0.1
4800	-21330.1	-8580	0.1
4900	-20401.55	-8580	0.1
Total Time: 40.07533383369446
Best Route: 1 22 32 49 36 35 34 39 40 37 38 48 24 15 5 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 14 13 52 11 29 30 42 2 7 17 21 
Fitness=-8580

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28890.05	-8980	0.1
100	-18177.1	-8980	0.1
200	-18237.4	-8980	0.1
300	-18897.8	-8980	0.1
400	-14400.9	-8980	0.1
500	-17703.95	-8980	0.1
600	-19151.0	-8980	0.1
700	-21154.45	-8980	0.1
800	-19435.95	-8980	0.1
900	-16612.8	-8930	0.1
1000	-18323.25	-8854	0.1
1100	-20186.1	-8854	0.1
1200	-19953.7	-8854	0.1
1300	-17716.85	-8854	0.1
1400	-23340.8	-8854	0.1
1500	-16215.7	-8854	0.1
1600	-19704.0	-8804	0.1
1700	-18648.1	-8804	0.1
1800	-23444.45	-8804	0.1
1900	-18816.3	-8804	0.1
2000	-17725.25	-8804	0.1
2100	-17366.1	-8804	0.1
2200	-20040.0	-8804	0.1
2300	-15276.6	-8804	0.1
2400	-17161.65	-8804	0.1
2500	-16945.0	-8804	0.1
2600	-20935.75	-8804	0.1
2700	-20885.45	-8804	0.1
2800	-15847.3	-8804	0.1
2900	-21157.75	-8804	0.1
3000	-19170.95	-8804	0.1
3100	-19572.05	-8804	0.1
3200	-17875.55	-8804	0.1
3300	-16786.75	-8804	0.1
3400	-14120.7	-8804	0.1
3500	-18047.65	-8804	0.1
3600	-24329.6	-8804	0.1
3700	-21647.15	-8804	0.1
3800	-23230.15	-8804	0.1
