lenz1 lenz2 kamenev1 kamenev2 kamenev3 helm stipp bort1 bort2 streitenberger frischbier hoehn
7542 7658 8836 7982 8226 7818 13932 8377 7800 7542 16661 8784
7692 7681 8852 8159 8381 7952 13984 8397 7851 7711 17006 8580
7832 7700 8952 8564 8668 8008 14106 8414 7873 7717 17301 8764
7843 7753 9053 8800 8793 8018 14400 8459 7896 7768 17326 8629
7867 7839 9116 8827 8822 8032 14716 8498 7914 7815 17512 8710
7901 7855 9337 8828 8865 8115 14845 8503 7918 7820 17601 8861
7936 7860 9352 8829 8873 8150 14852 8520 7919 7843 17826 8738
7971 7886 9535 8857 8996 8199 14930 8546 7972 7854 17860 8747
8009 7911 9657 8874 9041 8205 15047 8565 7996 7952 18116 8727
8010 7915 9658 9140 9111 8265 15154 8572 7999 7967 18140 8822
8013 7947 9735 9341 9147 8274 15249 8574 8028 7979 18166 8815
8018 7968 9790 9350 9161 8290 15340 8596 8065 8008 18734 8863
8109 8001 9864 9411 9177 8317 15361 8684 8070 8016 18759 8638
8115 8011 9931 9528 9197 8341 15446 8706 8078 8049 18994 8532
8146 8079 9941 9697 9203 8342 15531 8707 8094 8063 19000 8828
8154 8093 10058 9734 9210 8381 15647 8710 8108 8068 19169 8876
8164 8103 10244 9746 9256 8421 15845 8881 8122 8116 19176 8943
8171 8172 10284 9758 9297 8426 15849 8967 8122 8124 19419 8799
8199 8179 10402 9788 9349 8452 16002 8994 8216 8147 19476 8702
8200 8222 10439 9871 9350 8477 16140 8998 8218 8148 19512 8631
8221 8223 10550 9874 9445 8483 16178 9010 8248 8176 19551 8854
8283 8251 10612 9943 9501 8513 16178 9011 8275 8227 19778 8954
8328 8252 10709 9973 9533 8528 16302 9036 8287 8278 20235 8576
8328 8264 10744 10032 9609 8528 16403 9110 8326 8310 20278 8620
8378 8267 10846 10153 9655 8584 16425 9126 8360 8334 20297 8811
8444 8342 10875 10212 9705 8629 16437 9165 8370 8335 20428 8836
8473 8356 10991 10294 9710 8655 16471 9165 8400 8352 20828 8814
8645 8509 11139 10368 9742 8688 16471 9167 8517 8364 20901 8615
8658 8573 11166 10454 9896 8715 16530 9207 8619 8474 20946 8694
8783 8595 11307 10489 9923 8806 16681 9283 8736 8563 21670 8921
